07-07 10:19 fdr_control  DEBUG    thresh 0.1511 | est fdr 17.0000 | true fdr 0.0000 | true power 0.0250
07-07 10:19 fdr_control  DEBUG    thresh 0.1504 | est fdr 17.2500 | true fdr 0.0000 | true power 0.0250
07-07 10:19 fdr_control  DEBUG    thresh 0.1499 | est fdr 17.5000 | true fdr 0.0000 | true power 0.0250
07-07 10:19 fdr_control  DEBUG    thresh 0.1495 | est fdr 17.7500 | true fdr 0.0000 | true power 0.0250
07-07 10:19 fdr_control  DEBUG    thresh 0.1490 | est fdr 18.0000 | true fdr 0.0000 | true power 0.0250
07-07 10:19 fdr_control  DEBUG    thresh 0.1468 | est fdr 18.2500 | true fdr 0.0000 | true power 0.0250
07-07 10:19 fdr_control  DEBUG    thresh 0.1458 | est fdr 18.5000 | true fdr 0.0000 | true power 0.0250
07-07 10:19 fdr_control  DEBUG    thresh 0.1451 | est fdr 14.8000 | true fdr 0.0000 | true power 0.0312
07-07 10:19 fdr_control  DEBUG    thresh 0.1449 | est fdr 15.0000 | true fdr 0.0000 | true power 0.0312
07-07 10:19 fdr_control  DEBUG    thresh 0.1449 | est fdr 15.2000 | true fdr 0.0000 | true power 0.0312
07-07 10:19 fdr_control  DEBUG    thresh 0.1443 | est fdr 12.6667 | true fdr 0.0000 | true power 0.0375
07-07 10:19 fdr_control  DEBUG    thresh 0.1442 | est fdr 12.8333 | true fdr 0.0000 | true power 0.0375
07-07 10:19 fdr_control  DEBUG    thresh 0.1432 | est fdr 13.0000 | true fdr 0.0000 | true power 0.0375
07-07 10:19 fdr_control  DEBUG    thresh 0.1426 | est fdr 13.1667 | true fdr 0.0000 | true power 0.0375
07-07 10:19 fdr_control  DEBUG    thresh 0.1416 | est fdr 13.3333 | true fdr 0.0000 | true power 0.0375
07-07 10:19 fdr_control  DEBUG    thresh 0.1415 | est fdr 13.5000 | true fdr 0.0000 | true power 0.0375
07-07 10:19 fdr_control  DEBUG    thresh 0.1413 | est fdr 13.6667 | true fdr 0.0000 | true power 0.0375
07-07 10:19 fdr_control  DEBUG    thresh 0.1412 | est fdr 13.8333 | true fdr 0.0000 | true power 0.0375
07-07 10:19 fdr_control  DEBUG    thresh 0.1407 | est fdr 14.0000 | true fdr 0.0000 | true power 0.0375
07-07 10:19 fdr_control  DEBUG    thresh 0.1391 | est fdr 12.0000 | true fdr 0.0000 | true power 0.0437
07-07 10:19 fdr_control  DEBUG    thresh 0.1390 | est fdr 12.1429 | true fdr 0.0000 | true power 0.0437
07-07 10:19 fdr_control  DEBUG    thresh 0.1371 | est fdr 12.2857 | true fdr 0.0000 | true power 0.0437
07-07 10:19 fdr_control  DEBUG    thresh 0.1369 | est fdr 12.4286 | true fdr 0.0000 | true power 0.0437
07-07 10:19 fdr_control  DEBUG    thresh 0.1359 | est fdr 12.5714 | true fdr 0.0000 | true power 0.0437
07-07 10:19 fdr_control  DEBUG    thresh 0.1341 | est fdr 12.7143 | true fdr 0.0000 | true power 0.0437
07-07 10:19 fdr_control  DEBUG    thresh 0.1338 | est fdr 12.8571 | true fdr 0.0000 | true power 0.0437
07-07 10:19 fdr_control  DEBUG    thresh 0.1336 | est fdr 13.0000 | true fdr 0.0000 | true power 0.0437
07-07 10:19 fdr_control  DEBUG    thresh 0.1328 | est fdr 13.1429 | true fdr 0.0000 | true power 0.0437
07-07 10:19 fdr_control  DEBUG    thresh 0.1324 | est fdr 11.5000 | true fdr 0.0000 | true power 0.0500
07-07 10:19 fdr_control  DEBUG    thresh 0.1314 | est fdr 11.6250 | true fdr 0.0000 | true power 0.0500
07-07 10:19 fdr_control  DEBUG    thresh 0.1293 | est fdr 11.7500 | true fdr 0.0000 | true power 0.0500
07-07 10:19 fdr_control  DEBUG    thresh 0.1289 | est fdr 11.8750 | true fdr 0.0000 | true power 0.0500
07-07 10:19 fdr_control  DEBUG    thresh 0.1282 | est fdr 12.0000 | true fdr 0.0000 | true power 0.0500
07-07 10:19 fdr_control  DEBUG    thresh 0.1281 | est fdr 12.1250 | true fdr 0.0000 | true power 0.0500
07-07 10:19 fdr_control  DEBUG    thresh 0.1279 | est fdr 12.2500 | true fdr 0.0000 | true power 0.0500
07-07 10:19 fdr_control  DEBUG    thresh 0.1275 | est fdr 10.8889 | true fdr 0.0000 | true power 0.0563
07-07 10:19 fdr_control  DEBUG    thresh 0.1267 | est fdr 11.0000 | true fdr 0.0000 | true power 0.0563
07-07 10:19 fdr_control  DEBUG    thresh 0.1265 | est fdr 11.1111 | true fdr 0.0000 | true power 0.0563
07-07 10:19 fdr_control  DEBUG    thresh 0.1252 | est fdr 11.2222 | true fdr 0.0000 | true power 0.0563
07-07 10:19 fdr_control  DEBUG    thresh 0.1237 | est fdr 11.3333 | true fdr 0.0000 | true power 0.0563
07-07 10:19 fdr_control  DEBUG    thresh 0.1236 | est fdr 11.4444 | true fdr 0.0000 | true power 0.0563
07-07 10:19 fdr_control  DEBUG    thresh 0.1234 | est fdr 11.5556 | true fdr 0.0000 | true power 0.0563
