06-28 07:41 __main__     INFO     configs
06-28 07:41 __main__     INFO     {'abs_selection': False,
 'abs_t_list': True,
 'control_type': 'type_3_global',
 'd': 40,
 'dag_control': 'None',
 'dagma_type': 'dagma_1',
 'device': 'cuda:7',
 'est_type': 'tau+',
 'fdr': 0.2,
 'graph_type': 'ER',
 'log_file': 'log_30/log_40',
 'n': 2000,
 'numeric': False,
 'numeric_precision': '1e-1',
 'root_path': 'simulated_data/v11',
 's0': 160,
 'seed_X': 1,
 'seed_knockoff_list': [1,
                        2,
                        3,
                        4,
                        5,
                        6,
                        7,
                        8,
                        9,
                        10],
 'seed_model_list': [0],
 'sem_type': 'gauss',
 'version': 40}

06-28 07:41 utils        DEBUG    load X with seed 1 in simulated_data/v11/v40/X
06-28 07:41 __main__     INFO     knockoff: 1 | model: 0
06-28 07:41 utils        DEBUG    load W with seed 1_0 in simulated_data/v11/v40/W
06-28 07:41 fdr_control  INFO     ==============================
06-28 07:41 fdr_control  INFO     expected FDR 0.2
06-28 07:41 fdr_control  DEBUG    thresh 1.1541 | est fdr 0.0135 | true fdr 0.0000 | true power 0.4625
06-28 07:41 fdr_control  DEBUG    thresh 1.1467 | est fdr 0.0133 | true fdr 0.0000 | true power 0.4688
06-28 07:41 fdr_control  DEBUG    thresh 1.1398 | est fdr 0.0132 | true fdr 0.0000 | true power 0.4750
06-28 07:41 fdr_control  DEBUG    thresh 1.1271 | est fdr 0.0130 | true fdr 0.0000 | true power 0.4813
06-28 07:41 fdr_control  DEBUG    thresh 1.1199 | est fdr 0.0128 | true fdr 0.0000 | true power 0.4875
06-28 07:41 fdr_control  DEBUG    thresh 1.1113 | est fdr 0.0127 | true fdr 0.0000 | true power 0.4938
06-28 07:41 fdr_control  DEBUG    thresh 1.1105 | est fdr 0.0125 | true fdr 0.0000 | true power 0.5000
06-28 07:41 fdr_control  DEBUG    thresh 1.1103 | est fdr 0.0123 | true fdr 0.0000 | true power 0.5062
06-28 07:41 fdr_control  DEBUG    thresh 1.1075 | est fdr 0.0122 | true fdr 0.0000 | true power 0.5125
06-28 07:41 fdr_control  DEBUG    thresh 1.1054 | est fdr 0.0120 | true fdr 0.0000 | true power 0.5188
06-28 07:41 fdr_control  DEBUG    thresh 1.0998 | est fdr 0.0119 | true fdr 0.0000 | true power 0.5250
06-28 07:41 fdr_control  DEBUG    thresh 1.0879 | est fdr 0.0118 | true fdr 0.0000 | true power 0.5312
